N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
103,씨에스윈드,"79,000","2,700",+3.54%,500,"33,315","42,171",10.18,"286,489",56.03,8.19,
104,한국가스공사,"35,550",350,-0.97%,"5,000","32,817","92,313",6.35,"72,976",13.02,-2.24,
105,KCC,"357,500","6,500",-1.79%,"5,000","31,769","8,886",12.84,"23,018",3.72,12.79,
106,현대오토에버,"115,500",500,-0.43%,500,"31,675","27,424",1.50,"9,750",41.67,11.09,
107,SK케미칼,"266,000","8,000",-2.92%,"5,000","31,259","11,751",17.25,"83,632",33.79,30.49,
108,한국항공우주,"31,850",100,+0.31%,"5,000","31,046","97,475",13.44,"75,782",157.67,6.39,
109,에스원,"81,400",200,+0.25%,500,"30,931","37,999",53.71,"13,254",21.10,10.48,
110,메리츠화재,"25,550",300,-1.16%,500,"30,820","120,625",10.81,"41,850",6.46,16.91,
111,키움증권,"117,500","1,000",+0.86%,"5,000","30,797","26,210",23.97,"8,388",3.14,27.63,
112,BGF리테일,"176,000","2,000",-1.12%,"1,000","30,420","17,284",32.90,"5,683",21.68,18.60,
113,현대미포조선,"75,900",300,+0.40%,"5,000","30,316","39,942",10.43,"55,751",-16.68,-0.84,
114,롯데쇼핑,"106,000",500,+0.47%,"5,000","29,986","28,289",10.42,"10,151",-5.18,-7.70,
115,한화생명,"3,380",70,-2.03%,"5,000","29,356","868,530",7.47,"1,192,060",6.27,1.90,
116,CJ,"100,500",500,-0.50%,"5,000","29,323","29,177",17.40,"9,880",68.69,1.89,
117,대우건설,"7,040",120,+1.73%,"5,000","29,260","415,623",10.84,"533,329",6.41,11.06,
118,OCI,"122,000","2,000",+1.67%,"5,000","29,096","23,849",16.11,"460,962",100.49,-9.89,
119,동서,"28,950",150,+0.52%,500,"28,863","99,700",3.36,"20,035",26.71,8.61,
120,대우조선해양,"26,600",400,-1.48%,"5,000","28,539","107,291",7.43,"58,494",-7.30,2.27,
121,만도,"60,100",200,-0.33%,"1,000","28,221","46,957",24.92,"80,327",11.90,0.37,
122,현대로템,"25,850",150,+0.58%,"5,000","28,213","109,142",5.50,"1,355,569",83.12,2.84,
123,LG화학우,"354,500","7,500",-2.07%,"5,000","27,257","7,689",68.15,"5,493",9.55,N/A,
124,포스코인터내셔널,"21,900",50,+0.23%,"5,000","27,019","123,375",11.28,"187,625",9.17,7.69,
125,효성첨단소재,"600,000","23,000",+3.99%,"5,000","26,880","4,480",11.58,"47,074",18.28,0.03,
126,한샘,"113,000",500,+0.44%,"1,000","26,593","23,534",19.94,"12,516",31.98,10.83,
127,DB하이텍,"59,800",900,-1.48%,"5,000","26,550","44,399",16.98,"199,611",15.90,23.07,
128,제일기획,"23,000",0,0.00%,200,"26,459","115,041",33.80,"24,164",14.15,16.11,
129,휠라홀딩스,"43,550",700,-1.58%,"1,000","26,458","60,752",47.04,"139,904",10.98,10.94,
130,한화,"35,250",250,+0.71%,"5,000","26,423","74,959",18.59,"367,349",6.77,4.79,
131,신세계,"260,000","4,000",-1.52%,"5,000","25,597","9,845",27.27,"19,528",31.73,-2.81,
